DBN,graduation_rate_2011,college_career_rate_2011,graduation_rate_2012,college_career_rate_2012,graduation_rate_2013,college_career_rate_2013,graduation_rate_2014,college_career_rate_2014,Community Board,Council District ,Census Tract,NTA,Precinct
06M467,73.30%,58.30%,65.20%,52.80%,60%,39%,69%,50%,12.0,10.0,277,Washington Heights North,34
06M468,60.90%,40.30%,57.30%,40.80%,49%,36%,59%,35%,12.0,10.0,277,Washington Heights North,34
06M540,82.60%,54.50%,74.70%,63.40%,73%,65%,76%,49%,9.0,9.0,"21,703",Manhattanville,26
06M552,68.50%,49.50%,76.40%,51.70%,64%,56%,56%,45%,,,,,33
07X221,91.20%,61.50%,88.90%,63.20%,86%,63%,87%,51%,1.0,8.0,43,Mott Haven-Port Morris,40
07X334,59.00%,30.20%,47.30%,41.00%,31%,28%,40%,19%,1.0,8.0,41,Mott Haven-Port Morris,40
07X427,73.10%,57.90%,60.30%,60.30%,69%,53%,63%,46%,1.0,8.0,63,West Concourse,40
07X473,58.30%,48.50%,64.60%,39.30%,51%,42%,57%,27%,1.0,17.0,71,Melrose South-Mott Haven North,40
07X495,89.90%,60.30%,88.90%,70.60%,85%,69%,94%,65%,1.0,17.0,71,Melrose South-Mott Haven North,40
07X500,90.80%,82.00%,78.60%,73.60%,75%,76%,88%,64%,1.0,17.0,73,Melrose South-Mott Haven North,40
07X520,57.30%,54.40%,53.30%,57.30%,48%,34%,42%,41%,1.0,8.0,35,Mott Haven-Port Morris,40
07X527,57.30%,38.70%,64.80%,37.30%,62%,55%,65%,55%,4.0,17.0,61,East Concourse-Concourse Village,44
07X547,50.00%,21.70%,57.80%,19.50%,54%,25%,54%,28%,4.0,17.0,61,East Concourse-Concourse Village,44
07X548,86.60%,66.30%,72.90%,54.90%,68%,48%,74%,45%,4.0,17.0,61,East Concourse-Concourse Village,44
07X551,83.10%,60.50%,77.80%,66.30%,87%,65%,65%,58%,1.0,8.0,51,Mott Haven-Port Morris,40
07X600,53.70%,14.10%,56.10%,14.60%,51%,23%,64%,19%,1.0,17.0,67,Melrose South-Mott Haven North,40
07X670,74.20%,66.40%,73.80%,63.20%,69%,54%,56%,47%,1.0,8.0,63,West Concourse,40
08X282,86.40%,65.80%,67.60%,74.20%,66%,43%,72%,51%,9.0,18.0,4,Soundview-Castle Hill-Clason Point-Harding Park,43
08X293,71.70%,35.30%,65.60%,39.40%,80%,41%,73%,54%,10.0,13.0,194,Schuylerville-Throgs Neck-Edgewater Park,45
08X305,51.40%,27.40%,61.10%,37.60%,61%,27%,70%,30%,9.0,18.0,16,Soundview-Castle Hill-Clason Point-Harding Park,43
08X312,71.30%,30.60%,61.30%,27.80%,66%,34%,68%,45%,9.0,18.0,16,Soundview-Castle Hill-Clason Point-Harding Park,43
08X332,59.00%,28.60%,52.20%,37.00%,51%,27%,46%,28%,2.0,17.0,87,Longwood,41
08X405,50.60%,41.80%,50.20%,33.80%,54%,33%,52%,37%,10.0,13.0,194,Schuylerville-Throgs Neck-Edgewater Park,45
08X452,69.80%,49.20%,63.90%,39.50%,52%,45%,57%,32%,9.0,18.0,16,Soundview-Castle Hill-Clason Point-Harding Park,43
08X519,63.00%,27.20%,66.40%,34.60%,43%,32%,42%,24%,9.0,17.0,28,Soundview-Castle Hill-Clason Point-Harding Park,43
08X530,55.60%,32.70%,49.20%,32.30%,42%,33%,40%,22%,2.0,17.0,87,Longwood,41
09X227,47.30%,36.40%,56.00%,37.40%,57%,34%,55%,34%,4.0,16.0,225,East Concourse-Concourse Village,44
09X231,71.60%,56.30%,72.60%,52.60%,68%,58%,71%,51%,6.0,15.0,395,Claremont-Bathgate,48
09X250,74.10%,47.50%,81.80%,50.00%,82%,46%,85%,68%,3.0,16.0,"14,701",Claremont-Bathgate,42
09X252,83.30%,52.30%,81.90%,67.60%,85%,65%,69%,69%,3.0,16.0,167,Claremont-Bathgate,42
09X260,84.70%,68.30%,88.10%,66.30%,92%,78%,88%,83%,3.0,16.0,"14,701",Claremont-Bathgate,42
09X263,65.70%,57.10%,65.00%,40.20%,65%,41%,58%,49%,3.0,16.0,167,Claremont-Bathgate,42
09X276,57.50%,30.30%,44.60%,39.10%,56%,28%,41%,25%,3.0,15.0,165,Claremont-Bathgate,42
09X297,68.60%,30.10%,63.50%,29.50%,63%,34%,59%,39%,3.0,16.0,135,Morrisania-Melrose,42
09X329,48.90%,33.70%,54.30%,34.40%,33%,37%,44%,24%,4.0,16.0,225,East Concourse-Concourse Village,44
09X403,59.00%,43.80%,63.10%,41.00%,50%,45%,68%,33%,3.0,16.0,135,Morrisania-Melrose,42
09X404,63.50%,28.80%,56.90%,29.40%,62%,27%,50%,40%,3.0,16.0,135,Morrisania-Melrose,42
09X412,50.80%,30.40%,42.50%,30.30%,43%,34%,45%,23%,4.0,16.0,225,East Concourse-Concourse Village,44
09X413,78.30%,71.20%,92.50%,56.50%,88%,84%,83%,69%,4.0,16.0,225,East Concourse-Concourse Village,44
09X505,70.70%,62.60%,73.80%,61.60%,84%,66%,77%,70%,4.0,16.0,"18,302",East Concourse-Concourse Village,44
09X517,80.00%,52.80%,78.50%,52.20%,69%,49%,72%,32%,3.0,16.0,"14,701",Claremont-Bathgate,42
09X525,67.10%,58.30%,69.90%,41.90%,57%,48%,61%,37%,3.0,15.0,165,Claremont-Bathgate,42
09X543,76.50%,31.90%,71.40%,33.30%,49%,41%,62%,30%,3.0,16.0,135,Morrisania-Melrose,42
10X141,87.00%,78.40%,83.90%,82.00%,78%,67%,83%,61%,8.0,11.0,309,North Riverdale-Fieldston-Riverdale,50
10X213,69.00%,42.20%,69.90%,45.70%,74%,44%,60%,50%,8.0,10.0,309,Marble Hill-Inwood,50
10X237,64.10%,66.20%,78.40%,39.70%,67%,66%,68%,53%,8.0,14.0,273,Van Cortlandt Village,50
10X243,58.60%,32.40%,66.70%,45.70%,74%,38%,65%,40%,6.0,15.0,387,Belmont,48
10X268,59.30%,24.10%,48.20%,31.10%,48%,47%,57%,40%,7.0,11.0,409,Van Cortlandt Village,52
10X284,69.40%,46.50%,72.30%,43.90%,66%,47%,65%,47%,8.0,10.0,309,Marble Hill-Inwood,50
10X342,64.00%,28.20%,71.10%,34.00%,65%,38%,61%,37%,7.0,11.0,409,Van Cortlandt Village,52
10X368,77.10%,50.00%,83.90%,59.30%,69%,68%,90%,58%,8.0,11.0,"29,302",Spuyten Duyvil-Kingsbridge,50
10X433,70.20%,30.70%,52.90%,52.90%,68%,30%,72%,39%,7.0,11.0,409,Van Cortlandt Village,52
10X434,72.60%,42.30%,66.00%,46.60%,65%,34%,70%,48%,6.0,15.0,387,Belmont,48
10X437,85.50%,32.50%,75.60%,31.90%,85%,33%,77%,44%,6.0,15.0,387,Belmont,48
10X438,45.70%,31.10%,52.60%,37.80%,38%,31%,40%,22%,6.0,15.0,387,Belmont,48
10X439,53.10%,29.90%,58.60%,30.20%,68%,45%,75%,41%,6.0,15.0,387,Belmont,48
10X440,57.10%,43.20%,49.90%,40.30%,55%,34%,45%,39%,7.0,11.0,409,Van Cortlandt Village,52
10X442,78.80%,54.80%,82.20%,62.40%,87%,54%,89%,62%,7.0,11.0,409,Van Cortlandt Village,52
10X477,81.10%,69.20%,92.20%,63.20%,90%,74%,91%,76%,8.0,10.0,309,Marble Hill-Inwood,50
10X546,59.00%,42.70%,73.10%,41.00%,74%,50%,71%,54%,8.0,10.0,309,Marble Hill-Inwood,50
10X549,62.20%,41.50%,54.10%,44.80%,57%,37%,63%,29%,7.0,11.0,409,Van Cortlandt Village,52
11X253,61.50%,39.70%,56.80%,33.30%,54%,27%,62%,18%,12.0,12.0,372,Williamsbridge-Olinville,47
11X265,69.20%,46.00%,57.80%,41.80%,66%,39%,69%,41%,12.0,12.0,372,Williamsbridge-Olinville,47
11X270,57.50%,50.00%,69.90%,40.50%,74%,34%,68%,43%,12.0,12.0,404,Williamsbridge-Olinville,47
11X275,76.20%,51.70%,81.90%,51.90%,85%,67%,85%,53%,12.0,12.0,372,Williamsbridge-Olinville,47
11X288,80.60%,65.30%,89.50%,61.20%,89%,81%,82%,72%,11.0,13.0,324,Bronxdale,49
11X290,70.90%,54.00%,73.50%,61.50%,66%,67%,70%,62%,12.0,12.0,372,Williamsbridge-Olinville,47
11X299,65.50%,46.00%,68.50%,41.40%,63%,45%,65%,49%,11.0,13.0,324,Bronxdale,49
11X418,64.40%,38.10%,62.40%,37.30%,58%,35%,57%,34%,11.0,13.0,228,Pelham Parkway,49
11X455,62.10%,36.30%,65.10%,32.10%,58%,34%,66%,34%,10.0,12.0,"46,201",Co-op City,45
11X513,54.50%,51.60%,74.30%,50.00%,84%,57%,75%,72%,12.0,12.0,404,Williamsbridge-Olinville,47
11X514,46.40%,18.30%,50.00%,28.10%,57%,24%,72%,34%,12.0,12.0,404,Williamsbridge-Olinville,47
11X542,92.50%,79.10%,91.30%,83.20%,95%,83%,89%,79%,11.0,13.0,324,Bronxdale,49
11X544,74.50%,36.40%,72.10%,49.10%,71%,57%,73%,31%,12.0,12.0,372,Williamsbridge-Olinville,47
12X248,70.00%,42.70%,74.70%,53.20%,71%,42%,63%,59%,2.0,17.0,131,Longwood,41
12X251,69.20%,34.20%,62.50%,41.70%,55%,41%,65%,35%,3.0,17.0,155,Crotona Park East,42
12X271,75.00%,34.70%,75.00%,42.00%,70%,46%,80%,45%,3.0,17.0,161,Crotona Park East,42
12X278,51.40%,22.10%,41.60%,21.40%,43%,23%,33%,17%,2.0,17.0,131,Longwood,41
12X682,58.80%,42.40%,58.90%,30.90%,66%,44%,66%,41%,3.0,17.0,157,Crotona Park East,42
12X684,57.60%,54.20%,56.70%,28.80%,65%,38%,62%,41%,6.0,15.0,220,East Tremont,48
12X692,47.70%,27.40%,41.60%,25.20%,45%,27%,44%,28%,9.0,18.0,56,West Farms-Bronx River,43
13K265,79.50%,39.50%,79.50%,50.70%,63%,44%,66%,36%,2.0,35.0,211,Fort Greene,88
13K350,60.00%,49.00%,60.70%,60.00%,49%,47%,60%,32%,2.0,33.0,15,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,84
13K412,66.30%,33.80%,64.80%,46.20%,70%,44%,78%,46%,3.0,33.0,235,Clinton Hill,79
13K419,80.20%,39.90%,73.80%,56.50%,69%,51%,71%,44%,2.0,33.0,15,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,84
13K439,87.20%,61.70%,81.50%,54.30%,85%,64%,89%,63%,2.0,33.0,15,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,84
13K483,86.40%,79.80%,91.30%,83.00%,89%,82%,88%,82%,2.0,33.0,11,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,84
13K499,67.10%,34.10%,71.90%,39.30%,71%,43%,67%,62%,8.0,35.0,305,Crown Heights North,77
13K595,96.70%,92.10%,96.80%,75.60%,95%,82%,98%,79%,3.0,36.0,243,Bedford,79
13K605,63.30%,32.20%,61.50%,46.60%,67%,33%,79%,35%,2.0,33.0,13,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,84
13K670,92.60%,72.20%,94.10%,72.20%,95%,76%,95%,79%,2.0,35.0,191,Clinton Hill,88
14K071,45.60%,32.70%,46.40%,35.90%,48%,30%,59%,35%,1.0,33.0,529,Williamsburg,90
14K454,59.30%,31.60%,68.50%,41.90%,49%,30%,51%,22%,1.0,34.0,505,East Williamsburg,90
14K474,62.90%,38.00%,75.30%,39.90%,59%,44%,59%,35%,1.0,34.0,485,Bushwick South,90
14K477,67.10%,39.10%,68.80%,52.40%,43%,45%,54%,27%,1.0,34.0,485,Bushwick South,90
14K478,84.70%,43.20%,77.30%,54.40%,73%,50%,76%,71%,1.0,34.0,485,Bushwick South,90
14K488,79.00%,50.70%,76.10%,61.70%,74%,54%,83%,54%,1.0,33.0,519,North Side-South Side,94
14K558,88.20%,50.50%,88.30%,48.00%,90%,52%,91%,52%,1.0,33.0,519,North Side-South Side,94
14K561,91.00%,59.10%,90.80%,73.00%,89%,67%,87%,66%,1.0,33.0,519,North Side-South Side,94
14K610,53.60%,18.50%,63.60%,26.40%,45%,38%,49%,24%,1.0,33.0,517,North Side-South Side,94
14K685,68.90%,26.80%,68.10%,35.60%,78%,34%,64%,33%,1.0,33.0,529,Williamsburg,90
15K429,61.30%,46.20%,65.00%,49.30%,75%,54%,54%,57%,6.0,33.0,69,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,76
15K448,90.90%,68.40%,82.30%,76.60%,87%,74%,90%,70%,6.0,39.0,63,Carroll Gardens-Columbia Street-Red Hook,76
15K462,75.00%,43.30%,81.30%,47.10%,82%,53%,85%,56%,6.0,39.0,155,Park Slope-Gowanus,78
15K463,61.40%,45.80%,62.00%,45.80%,65%,42%,61%,42%,6.0,39.0,155,Park Slope-Gowanus,78
15K464,60.00%,51.70%,62.50%,43.50%,39%,50%,61%,36%,6.0,39.0,155,Park Slope-Gowanus,78
15K519,57.40%,29.50%,72.00%,31.80%,79%,41%,73%,48%,6.0,33.0,69,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,76
15K656,88.50%,52.00%,77.80%,62.50%,83%,59%,79%,63%,2.0,33.0,39,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,84
16K393,65.20%,71.80%,51.10%,31.80%,78%,19%,65%,43%,3.0,36.0,291,Stuyvesant Heights,81
16K455,45.70%,19.70%,38.60%,21.20%,44%,19%,42%,20%,3.0,36.0,271,Crown Heights North,81
16K498,77.30%,37.30%,71.70%,41.20%,59%,41%,79%,33%,3.0,41.0,375,Stuyvesant Heights,81
17K382,61.70%,64.70%,72.20%,40.70%,71%,53%,63%,47%,14.0,40.0,794,Erasmus,70
17K408,72.40%,57.10%,60.70%,53.90%,46%,42%,68%,24%,14.0,40.0,794,Erasmus,70
17K524,61.60%,25.00%,57.30%,43.20%,66%,43%,57%,39%,9.0,35.0,213,Crown Heights South,71
17K528,53.30%,48.60%,76.70%,31.70%,57%,52%,55%,33%,9.0,35.0,213,Crown Heights South,71
17K531,78.70%,43.30%,84.70%,36.00%,70%,58%,82%,48%,9.0,40.0,810,Prospect Lefferts Gardens-Wingate,71
17K533,64.60%,43.10%,67.50%,41.50%,54%,44%,63%,30%,9.0,40.0,810,Prospect Lefferts Gardens-Wingate,71
17K537,58.70%,46.10%,69.90%,32.20%,68%,51%,71%,46%,14.0,40.0,794,Erasmus,70
17K539,74.80%,44.90%,75.00%,43.50%,71%,38%,75%,38%,14.0,40.0,794,Erasmus,70
17K543,94.30%,93.40%,98.60%,84.30%,96%,97%,95%,89%,14.0,40.0,794,Erasmus,70
17K546,96.00%,90.50%,96.20%,82.20%,94%,81%,93%,76%,9.0,40.0,810,Prospect Lefferts Gardens-Wingate,71
17K547,70.30%,52.30%,68.80%,46.90%,64%,42%,78%,48%,9.0,35.0,213,Crown Heights South,71
17K548,70.50%,39.10%,74.40%,36.40%,68%,40%,72%,38%,9.0,35.0,213,Crown Heights South,71
17K590,97.50%,68.40%,98.80%,75.60%,96%,84%,92%,72%,9.0,35.0,321,Crown Heights South,71
17K600,66.20%,48.10%,72.60%,55.30%,72%,58%,77%,58%,9.0,35.0,213,Crown Heights South,71
19K404,85.50%,53.80%,70.90%,59.20%,65%,49%,80%,49%,5.0,42.0,"1,070",East New York,75
19K409,86.60%,60.00%,80.30%,52.20%,87%,62%,93%,62%,5.0,42.0,"1,104",East New York,75
19K504,71.50%,21.20%,61.60%,29.30%,57%,24%,52%,25%,5.0,42.0,"1,156",East New York (Pennsylvania Ave),75
19K507,62.90%,39.60%,63.40%,38.10%,70%,37%,71%,34%,5.0,42.0,"1,156",East New York (Pennsylvania Ave),75
19K510,66.30%,30.50%,65.40%,42.90%,65%,47%,58%,48%,5.0,42.0,"1,156",East New York (Pennsylvania Ave),75
19K615,85.20%,43.00%,70.70%,48.50%,67%,42%,64%,37%,5.0,37.0,"1,196",East New York,75
19K659,53.10%,38.90%,50.50%,36.30%,47%,34%,50%,31%,5.0,37.0,"1,180",park-cemetery-etc-Brooklyn,75
19K660,60.70%,16.50%,67.30%,25.30%,65%,30%,50%,26%,5.0,37.0,"1,144",East New York (Pennsylvania Ave),75
20K445,71.00%,52.20%,72.60%,56.50%,68%,60%,70%,54%,11.0,43.0,182,Bensonhurst West,62
20K485,80.00%,69.00%,85.50%,72.10%,83%,79%,87%,70%,10.0,43.0,70,Bay Ridge,68
20K490,70.30%,57.00%,66.00%,54.90%,70%,58%,68%,58%,10.0,43.0,46,Bay Ridge,68
20K505,59.10%,42.50%,63.50%,46.90%,60%,49%,58%,49%,12.0,44.0,468,Borough Park,66
21K337,49.20%,38.20%,48.00%,47.50%,50%,41%,61%,41%,13.0,47.0,306,Gravesend,60
21K344,67.50%,40.80%,61.60%,55.30%,78%,52%,70%,61%,13.0,47.0,354,West Brighton,60
21K348,56.50%,50.00%,70.00%,58.50%,74%,57%,83%,40%,13.0,47.0,306,Gravesend,60
21K410,63.50%,46.60%,70.90%,48.00%,67%,55%,69%,52%,13.0,47.0,354,West Brighton,60
21K525,76.00%,66.20%,80.40%,72.00%,78%,76%,81%,67%,14.0,44.0,768,Midwood,70
21K540,65.90%,52.10%,72.40%,53.60%,74%,57%,79%,56%,13.0,47.0,308,Gravesend,60
21K620,50.40%,30.00%,64.80%,33.70%,61%,38%,57%,27%,13.0,48.0,366,Brighton Beach,60
21K690,72.30%,56.20%,73.70%,59.90%,76%,61%,78%,55%,11.0,47.0,288,Bensonhurst West,62
22K405,86.70%,82.80%,86.60%,81.70%,85%,74%,89%,74%,14.0,45.0,772,Flatbush,70
22K425,73.30%,59.20%,70.80%,56.70%,75%,60%,76%,63%,15.0,48.0,642,Madison,61
22K535,95.80%,86.20%,98.90%,88.50%,96%,87%,96%,91%,15.0,48.0,616,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,61
22K555,98.70%,89.00%,95.40%,88.70%,97%,92%,99%,90%,7.0,39.0,504,Windsor Terrace,72
23K493,64.20%,35.20%,71.20%,46.20%,55%,49%,56%,40%,16.0,41.0,"36,501",Ocean Hill,73
23K514,76.90%,46.70%,63.30%,41.80%,59%,46%,53%,37%,16.0,41.0,924,Brownsville,73
23K697,73.60%,35.70%,81.60%,39.60%,73%,55%,67%,47%,16.0,41.0,924,Brownsville,73
24Q264,90.60%,76.10%,96.10%,75.20%,90%,83%,91%,73%,2.0,26.0,179,Hunters Point-Sunnyside-West Maspeth,108
24Q267,70.50%,64.40%,76.20%,52.60%,80%,60%,70%,52%,2.0,26.0,179,Hunters Point-Sunnyside-West Maspeth,108
24Q299,96.40%,96.00%,100.00%,92.70%,96%,99%,99%,86%,2.0,26.0,179,Hunters Point-Sunnyside-West Maspeth,108
24Q455,62.40%,46.50%,68.40%,39.50%,61%,49%,65%,40%,4.0,25.0,461,Elmhurst,110
24Q485,57.80%,38.50%,58.00%,31.70%,60%,37%,58%,38%,5.0,30.0,595,Ridgewood,104
24Q520,78.20%,36.60%,75.50%,55.40%,74%,69%,70%,50%,2.0,26.0,179,Hunters Point-Sunnyside-West Maspeth,108
24Q530,80.20%,47.50%,74.40%,56.90%,70%,60%,82%,64%,2.0,26.0,179,Hunters Point-Sunnyside-West Maspeth,108
24Q550,79.60%,47.80%,83.10%,52.40%,83%,63%,85%,58%,4.0,21.0,"43,701",Corona,110
24Q600,76.70%,42.80%,74.50%,52.60%,80%,55%,80%,62%,2.0,26.0,189,Hunters Point-Sunnyside-West Maspeth,108
24Q610,87.90%,65.00%,89.00%,56.50%,88%,80%,94%,82%,2.0,26.0,179,Hunters Point-Sunnyside-West Maspeth,108
25Q263,58.70%,40.70%,60.20%,42.40%,70%,51%,69%,58%,7.0,20.0,863,Murray Hill,109
